date,na1,na2,ra,dec,obsEcLng,obsEcLat,
 1999-Jan-01 00:00, , ,   291.83293,  -45.42616,  286.4783353,-23.2298418,
 1999-Jul-01 00:00, , ,   292.74331,  -46.80070,  286.9298126,-24.6891585,
 2000-Jan-01 00:00, , ,   292.53286,  -46.65457,  286.7945477,-24.5215164,
 2000-Jul-01 00:00, , ,   293.42664,  -47.96480,  287.2248873,-25.9157447,
 2001-Jan-01 00:00, , ,   293.21589,  -47.76068,  287.1041859,-25.6907205,
 2001-Jul-01 00:00, , ,   294.08903,  -49.00537,  287.5129018,-27.0181830,
 2002-Jan-01 00:00, , ,   293.83624,  -48.76162,  287.3736226,-26.7491050,
 2002-Jul-01 00:00, , ,   294.71325,  -49.94533,  287.7801742,-28.0170966,
 2003-Jan-01 00:00, , ,   294.42322,  -49.67058,  287.6248431,-27.7130042,
 2003-Jul-01 00:00, , ,   295.30310,  -50.79788,  288.0293803,-28.9259580,
 2004-Jan-01 00:00, , ,   294.98026,  -50.49911,  287.8606137,-28.5942083,
 2004-Jul-01 00:00, , ,   295.84351,  -51.57978,  288.2487285,-29.7593828,
 2005-Jan-01 00:00, , ,   295.53179,  -51.25555,  288.0983934,-29.4039079,
 2005-Jul-01 00:00, , ,   296.37558,  -52.28904,  288.4696146,-30.5204488,
 2006-Jan-01 00:00, , ,   296.03637,  -51.95112,  288.3079136,-30.1481359,
 2006-Jul-01 00:00, , ,   296.88192,  -52.93971,  288.6781871,-31.2208697,
 2007-Jan-01 00:00, , ,   296.51812,  -52.59186,  288.5062677,-30.8357369,
 2007-Jul-01 00:00, , ,   297.36484,  -53.53867,  288.8755314,-31.8676979,
 2008-Jan-01 00:00, , ,   296.97843,  -53.18397,  288.6943345,-31.4729979,
 2008-Jul-01 00:00, , ,   297.80857,  -54.09694,  289.0494702,-32.4697316,
 2009-Jan-01 00:00, , ,   297.43763,  -53.73101,  288.8861162,-32.0659547,
 2009-Jul-01 00:00, , ,   298.24822,  -54.60955,  289.2261365,-33.0265567,
 2010-Jan-01 00:00, , ,   297.85721,  -54.24123,  289.0539508,-32.6178971,
 2010-Jul-01 00:00, , ,   298.66734,  -55.08593,  289.3927976,-33.5453257,
 2011-Jan-01 00:00, , ,   298.25764,  -54.71674,  289.2121270,-33.1334258,
 2011-Jul-01 00:00, , ,   299.06645,  -55.52973,  289.5494409,-34.0296911,
 2012-Jan-01 00:00, , ,   298.63974,  -55.16078,  289.3612855,-33.6158366,
 2012-Jul-01 00:00, , ,   299.43132,  -55.94822,  289.6855295,-34.4848966,
 2013-Jan-01 00:00, , ,   299.02193,  -55.57406,  289.5141664,-34.0681997,
 2013-Jul-01 00:00, , ,   299.79457,  -56.33515,  289.8251661,-34.9090748,
 2014-Jan-01 00:00, , ,   299.37041,  -55.96299,  289.6470354,-34.4924300,
 2014-Jul-01 00:00, , ,   300.14179,  -56.69736,  289.9575300,-35.3070599,
 2015-Jan-01 00:00, , ,   299.70476,  -56.32784,  289.7736480,-34.8913150,
 2015-Jul-01 00:00, , ,   300.47496,  -57.03690,  290.0838447,-35.6811077,
 2016-Jan-01 00:00, , ,   300.02635,  -56.67064,  289.8950991,-35.2670267,
 2016-Jul-01 00:00, , ,   300.78134,  -57.35982,  290.1949290,-36.0354138,
 2017-Jan-01 00:00, , ,   300.35226,  -56.99119,  290.0231045,-35.6216284,
 2017-Jul-01 00:00, , ,   301.09029,  -57.65992,  290.3122357,-36.3678651,
 2018-Jan-01 00:00, , ,   300.65126,  -57.29555,  290.1359835,-35.9569215,
 2018-Jul-01 00:00, , ,   301.38850,  -57.94296,  290.4258135,-36.6822961,
 2019-Jan-01 00:00, , ,   300.94017,  -57.58323,  290.2454682,-36.2746487,
 2019-Jul-01 00:00, , ,   301.67637,  -58.21055,  290.5357704,-36.9803440,
 2020-Jan-01 00:00, , ,   301.21945,  -57.85572,  290.3518780,-36.5763232,
 2020-Jul-01 00:00, , ,   301.94124,  -58.46763,  290.6331133,-37.2650878,
 2021-Jan-01 00:00, , ,   301.50369,  -58.11222,  290.4649565,-36.8631176,
 2021-Jul-01 00:00, , ,   302.20942,  -58.70817,  290.7366862,-37.5342181,
 2022-Jan-01 00:00, , ,   301.76331,  -58.35810,  290.5642191,-37.1363094,
 2022-Jul-01 00:00, , ,   302.46727,  -58.93691,  290.8363089,-37.7905150,
 2023-Jan-01 00:00, , ,   302.01326,  -58.59220,  290.6599947,-37.3967419,
 2023-Jul-01 00:00, , ,   302.71507,  -59.15456,  290.9319866,-38.0346942,
 2024-Jan-01 00:00, , ,   302.25354,  -58.81520,  290.7521064,-37.6450993,
 2024-Jul-01 00:00, , ,   302.94111,  -59.36513,  291.0154491,-38.2690189,
 2025-Jan-01 00:00, , ,   302.49804,  -59.02554,  290.8497335,-37.8817450,
 2025-Jul-01 00:00, , ,   303.17007,  -59.56238,  291.1041188,-38.4908624,
 2026-Jan-01 00:00, , ,   302.72043,  -59.22801,  290.9346527,-38.1077556,
 2026-Jul-01 00:00, , ,   303.39083,  -59.75022,  291.1895241,-38.7024661,
 2027-Jan-01 00:00, , ,   302.93527,  -59.42103,  291.0167999,-38.3235928,
 2027-Jul-01 00:00, , ,   303.60424,  -59.92926,  291.2719918,-38.9045462,
 2028-Jan-01 00:00, , ,   303.14353,  -59.60519,  291.0965006,-38.5299380,
 2028-Jul-01 00:00, , ,   303.79989,  -60.10312,  291.3441272,-39.0991721,
 2029-Jan-01 00:00, , ,   303.35829,  -59.77904,  291.1822786,-38.7272055,
 2029-Jul-01 00:00, , ,   304.00105,  -60.26618,  291.4221093,-39.2841303,
 2030-Jan-01 00:00, , ,   303.55476,  -59.94734,  291.2570416,-38.9166047,
 2030-Jul-01 00:00, , ,   304.19655,  -60.42224,  291.4975786,-39.4615548,
$$EOE
*******************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date. Calendar dates prior to 1582-Oct-15 are in the
Julian calendar system. Later calendar dates are in the Gregorian system.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
 'R.A._(ICRF), DEC_(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}
 
 'ObsEcLon,   ObsEcLat,' =
   Observer-centered IAU76/80 ecliptic-of-date longitude and latitude of the
target centers' apparent position, with light-time, gravitational deflection of
light, and stellar aberrations.  Units: DEGREES


 Computations by ...
     Solar System Dynamics Group, Horizons On-Line Ephemeris System
     4800 Oak Grove Drive, Jet Propulsion Laboratory
     Pasadena, CA  91109   USA
     Information  : https://ssd.jpl.nasa.gov/
     Documentation: https://ssd.jpl.nasa.gov/?horizons_doc
     Connect      : https://ssd.jpl.nasa.gov/?horizons (browser)
                    telnet ssd.jpl.nasa.gov 6775       (command-line)
                    e-mail command interface available
                    Script and CGI interfaces available
     Author       : Jon.D.Giorgini@jpl.nasa.gov

*******************************************************************************
