date,na1,na2,ra,dec,obsEcLng,obsEcLat,
 1999-Jul-01 00:00, , ,   253.60140,   12.46572,  250.3815217, 34.7966822,
 2000-Jan-01 00:00, , ,   254.44156,   11.62872,  251.4980159, 34.0730680,
 2000-Jul-01 00:00, , ,   254.01965,   12.46482,  250.8876494, 34.8508570,
 2001-Jan-01 00:00, , ,   254.82062,   11.66685,  251.9503517, 34.1580114,
 2001-Jul-01 00:00, , ,   254.41021,   12.46468,  251.3620365, 34.9008530,
 2002-Jan-01 00:00, , ,   255.15509,   11.69876,  252.3523030, 34.2303859,
 2002-Jul-01 00:00, , ,   254.76762,   12.46353,  251.7985245, 34.9445459,
 2003-Jan-01 00:00, , ,   255.46255,   11.72715,  252.7239191, 34.2952085,
 2003-Jul-01 00:00, , ,   255.09627,   12.46162,  252.2019196, 34.9829887,
 2004-Jan-01 00:00, , ,   255.74650,   11.75264,  253.0692616, 34.3537082,
 2004-Jul-01 00:00, , ,   255.39083,   12.45768,  252.5659512, 35.0145393,
 2005-Jan-01 00:00, , ,   256.02035,   11.77740,  253.4036967, 34.4096595,
 2005-Jul-01 00:00, , ,   255.67271,   12.45522,  252.9153613, 35.0453445,
 2006-Jan-01 00:00, , ,   256.26481,   11.79854,  253.7043890, 34.4581919,
 2006-Jul-01 00:00, , ,   255.93466,   12.45279,  253.2416011, 35.0732659,
 2007-Jan-01 00:00, , ,   256.49260,   11.81825,  253.9858311, 34.5030120,
 2007-Jul-01 00:00, , ,   256.17876,   12.45063,  253.5467139, 35.0988752,
 2008-Jan-01 00:00, , ,   256.70519,   11.83678,  254.2497290, 34.5446042,
 2008-Jul-01 00:00, , ,   256.39832,   12.44756,  253.8227946, 35.1204373,
 2009-Jan-01 00:00, , ,   256.91295,   11.85572,  254.5079479, 34.5856837,
 2009-Jul-01 00:00, , ,   256.61099,   12.44613,  254.0903397, 35.1424353,
 2010-Jan-01 00:00, , ,   257.09819,   11.87229,  254.7395064, 34.6217557,
 2010-Jul-01 00:00, , ,   256.80966,   12.44494,  254.3409935, 35.1627925,
 2011-Jan-01 00:00, , ,   257.27143,   11.88789,  254.9565745, 34.6553365,
 2011-Jul-01 00:00, , ,   256.99541,   12.44377,  254.5757692, 35.1814759,
 2012-Jan-01 00:00, , ,   257.43374,   11.90243,  255.1605529, 34.6865065,
 2012-Jul-01 00:00, , ,   257.16244,   12.44124,  254.7879933, 35.1966160,
 2013-Jan-01 00:00, , ,   257.59438,   11.91699,  255.3622336, 34.7172731,
 2013-Jul-01 00:00, , ,   257.32664,   12.43957,  254.9963949, 35.2120384,
 2014-Jan-01 00:00, , ,   257.73811,   11.92911,  255.5436717, 34.7437586,
 2014-Jul-01 00:00, , ,   257.48167,   12.43755,  255.1936435, 35.2259589,
 2015-Jan-01 00:00, , ,   257.87427,   11.94023,  255.7160181, 34.7683326,
 2015-Jul-01 00:00, , ,   257.62874,   12.43531,  255.3811254, 35.2386495,
 2016-Jan-01 00:00, , ,   258.00370,   11.95050,  255.8804869, 34.7912565,
 2016-Jul-01 00:00, , ,   257.76201,   12.43205,  255.5523516, 35.2488086,
 2017-Jan-01 00:00, , ,   258.13423,   11.96119,  256.0464063, 34.8145218,
 2017-Jul-01 00:00, , ,   257.89521,   12.42985,  255.7236421, 35.2598308,
 2018-Jan-01 00:00, , ,   258.25159,   11.97035,  256.1970001, 34.8349107,
 2018-Jul-01 00:00, , ,   258.02216,   12.42787,  255.8877860, 35.2703114,
 2019-Jan-01 00:00, , ,   258.36347,   11.97922,  256.3416210, 34.8543797,
 2019-Jul-01 00:00, , ,   258.14304,   12.42622,  256.0450275, 35.2804026,
 2020-Jan-01 00:00, , ,   258.47010,   11.98793,  256.4806780, 34.8730855,
 2020-Jul-01 00:00, , ,   258.25220,   12.42404,  256.1890144, 35.2887518,
 2021-Jan-01 00:00, , ,   258.57812,   11.99746,  256.6218976, 34.8926028,
 2021-Jul-01 00:00, , ,   258.36177,   12.42308,  256.3340267, 35.2982205,
 2022-Jan-01 00:00, , ,   258.67438,   12.00580,  256.7496618, 34.9098038,
 2022-Jul-01 00:00, , ,   258.46574,   12.42233,  256.4727639, 35.3072602,
 2023-Jan-01 00:00, , ,   258.76580,   12.01389,  256.8722959, 34.9262288,
 2023-Jul-01 00:00, , ,   258.56457,   12.42159,  256.6056465, 35.3157412,
 2024-Jan-01 00:00, , ,   258.85269,   12.02154,  256.9900318, 34.9417440,
 2024-Jul-01 00:00, , ,   258.65319,   12.41995,  256.7269046, 35.3223448,
 2025-Jan-01 00:00, , ,   258.94154,   12.02949,  257.1102705, 34.9576127,
 2025-Jul-01 00:00, , ,   258.74313,   12.41885,  256.8498676, 35.3295051,
 2026-Jan-01 00:00, , ,   259.02075,   12.03598,  257.2190740, 34.9711522,
 2026-Jul-01 00:00, , ,   258.82942,   12.41752,  256.9683250, 35.3360182,
 2027-Jan-01 00:00, , ,   259.09689,   12.04194,  257.3242648, 34.9838356,
 2027-Jul-01 00:00, , ,   258.91242,   12.41603,  257.0825469, 35.3420209,
 2028-Jan-01 00:00, , ,   259.17032,   12.04749,  257.4260683, 34.9958239,
 2028-Jul-01 00:00, , ,   258.98740,   12.41374,  257.1871239, 35.3464871,
 2029-Jan-01 00:00, , ,   259.24673,   12.05355,  257.5309658, 35.0084887,
 2029-Jul-01 00:00, , ,   259.06478,   12.41224,  257.2940682, 35.3518547,
 2030-Jan-01 00:00, , ,   259.31512,   12.05861,  257.6257577, 35.0194569,
 2030-Jul-01 00:00, , ,   259.13940,   12.41087,  257.3970488, 35.3570650,
$$EOE
*******************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date. Calendar dates prior to 1582-Oct-15 are in the
Julian calendar system. Later calendar dates are in the Gregorian system.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
 'R.A._(ICRF), DEC_(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}
 
 'ObsEcLon,   ObsEcLat,' =
   Observer-centered IAU76/80 ecliptic-of-date longitude and latitude of the
target centers' apparent position, with light-time, gravitational deflection of
light, and stellar aberrations.  Units: DEGREES


 Computations by ...
     Solar System Dynamics Group, Horizons On-Line Ephemeris System
     4800 Oak Grove Drive, Jet Propulsion Laboratory
     Pasadena, CA  91109   USA
     Information  : https://ssd.jpl.nasa.gov/
     Documentation: https://ssd.jpl.nasa.gov/?horizons_doc
     Connect      : https://ssd.jpl.nasa.gov/?horizons (browser)
                    telnet ssd.jpl.nasa.gov 6775       (command-line)
                    e-mail command interface available
                    Script and CGI interfaces available
     Author       : Jon.D.Giorgini@jpl.nasa.gov

*******************************************************************************
