date,na1,na2,ra,dec,obsEcLng,obsEcLat,
 2010-Jan-01 00:00, , ,   257.09819,   11.87229,
 2010-Jul-01 00:00, , ,   256.80966,   12.44494,
 2011-Jan-01 00:00, , ,   257.27143,   11.88789,
 2011-Jul-01 00:00, , ,   256.99541,   12.44377,
 2012-Jan-01 00:00, , ,   257.43374,   11.90243,
 2012-Jul-01 00:00, , ,   257.16244,   12.44124,
 2013-Jan-01 00:00, , ,   257.59438,   11.91699,
 2013-Jul-01 00:00, , ,   257.32664,   12.43957,
 2014-Jan-01 00:00, , ,   257.73811,   11.92911,
 2014-Jul-01 00:00, , ,   257.48167,   12.43755,
 2015-Jan-01 00:00, , ,   257.87427,   11.94023,
 2015-Jul-01 00:00, , ,   257.62874,   12.43531,
 2016-Jan-01 00:00, , ,   258.00370,   11.95050,
 2016-Jul-01 00:00, , ,   257.76201,   12.43205,
 2017-Jan-01 00:00, , ,   258.13423,   11.96119,
 2017-Jul-01 00:00, , ,   257.89521,   12.42985,
 2018-Jan-01 00:00, , ,   258.25159,   11.97035,
 2018-Jul-01 00:00, , ,   258.02216,   12.42787,
 2019-Jan-01 00:00, , ,   258.36347,   11.97922,
 2019-Jul-01 00:00, , ,   258.14304,   12.42622,
 2020-Jan-01 00:00, , ,   258.47010,   11.98793,
 2020-Jul-01 00:00, , ,   258.25220,   12.42404,
 2021-Jan-01 00:00, , ,   258.57812,   11.99746,
 2021-Jul-01 00:00, , ,   258.36177,   12.42308,
 2022-Jan-01 00:00, , ,   258.67438,   12.00580,
 2022-Jul-01 00:00, , ,   258.46574,   12.42233,
 2023-Jan-01 00:00, , ,   258.76580,   12.01389,
 2023-Jul-01 00:00, , ,   258.56457,   12.42159,
 2024-Jan-01 00:00, , ,   258.85269,   12.02154,
 2024-Jul-01 00:00, , ,   258.65319,   12.41995,
 2025-Jan-01 00:00, , ,   258.94154,   12.02949,
 2025-Jul-01 00:00, , ,   258.74313,   12.41885,
 2026-Jan-01 00:00, , ,   259.02075,   12.03598,
 2026-Jul-01 00:00, , ,   258.82942,   12.41752,
 2027-Jan-01 00:00, , ,   259.09689,   12.04194,
 2027-Jul-01 00:00, , ,   258.91242,   12.41603,
 2028-Jan-01 00:00, , ,   259.17032,   12.04749,
 2028-Jul-01 00:00, , ,   258.98740,   12.41374,
 2029-Jan-01 00:00, , ,   259.24673,   12.05355,
 2029-Jul-01 00:00, , ,   259.06478,   12.41224,
 2030-Jan-01 00:00, , ,   259.31512,   12.05861,
 2030-Jul-01 00:00, , ,   259.13940,   12.41087,
$$EOE
*******************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date. Calendar dates prior to 1582-Oct-15 are in the
Julian calendar system. Later calendar dates are in the Gregorian system.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
 'R.A._(ICRF), DEC_(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}


 Computations by ...
     Solar System Dynamics Group, Horizons On-Line Ephemeris System
     4800 Oak Grove Drive, Jet Propulsion Laboratory
     Pasadena, CA  91109   USA
     Information  : https://ssd.jpl.nasa.gov/
     Documentation: https://ssd.jpl.nasa.gov/?horizons_doc
     Connect      : https://ssd.jpl.nasa.gov/?horizons (browser)
                    telnet ssd.jpl.nasa.gov 6775       (command-line)
                    e-mail command interface available
                    Script and CGI interfaces available
     Author       : Jon.D.Giorgini@jpl.nasa.gov

*******************************************************************************
